Rat ID,Butyrate,Acetate,Propionate,Valerate,Isovalerate,Isobutyrate,Formate,Glucose,Glycerol,Threonine,Leucine,Methionine,Valine,Proline,Lactate,Glutamate,Ethanol,Tryptophan,Aspartate,Alanine,Phenylalanine,Isoleucine,Tyrosine,Glycine,Nicotinate,Uracil,Urocanate,Hypoxanthine,Choline,Methanol,Succinate,2-oxoglutarate,Fumarate,Pyruvate,Methylamine,Trimethylamine,Malonate,"1,3-dihydroxyacetone"
C30,2.6198,24.5204,5.707,0.3026,0.0465,0.0251,0.045,2.1221,0.09,0.1293,0.346,0.1371,0.4141,0.2731,0.0473,0.8183,7.6973,0.1293,0.1813,0.3903,0.1941,0.3029,0.1602,0.0369,0.0428,0.1183,0.0374,0.0102,0.0026,0.0502,0.1964,0.073,0.0416,0.0926,0.0084,0.0076,0.043,0.0085
C31,1.8797,18.9171,5.6081,0.2186,0.0582,0.0294,0.0301,0.9631,0.8537,0.1019,0.3094,0.1267,0.3363,0.2763,0.0402,0.7391,9.308,0.1019,0.1292,0.2941,0.1624,0.2166,0.133,0.0332,0.05,0.1083,0.0162,0.0091,0.0138,0.0365,1.1992,0.1083,0.0097,0.0274,0.0303,0.0062,,0.0123
C32,2.8892,20.0723,3.5084,0.167,0.0535,0.0238,0.0858,2.6385,0.1364,0.3266,0.4945,0.1811,0.5405,0.6162,0.0333,1.0604,7.6276,0.3266,0.4004,0.8475,0.2669,0.4594,0.2549,0.4344,0.0311,0.1337,0.0238,0.015,0.0027,0.0325,0.2706,0.0673,0.0043,0.041,0.0366,0.006,0.0265,0.0114
C33,3.1445,27.3203,5.6719,0.3673,0.0419,0.0258,0.0234,1.141,0.6063,0.0578,0.4527,0.1005,0.1478,0.2051,0.0613,0.5251,5.5953,,0.115,0.2768,0.0957,0.1344,0.1078,0.0413,0.0881,0.086,0.0167,0.0111,0.0086,0.0511,0.0983,0.1127,0.0113,0.105,0.0923,0.0065,0.0306,0.013
C34,4.0076,18.5117,5.1055,0.3648,0.0639,0.0339,0.0334,2.1295,0.2724,0.1356,0.3757,0.1281,0.2859,0.2932,0.0395,0.726,3.8636,0.1356,0.1626,0.4387,0.2207,0.4531,0.1671,0.0301,0.061,0.1445,0.0185,0.0117,0.0038,0.0347,0.2059,0.0376,0.0631,0.0149,0.0222,0.0089,0.0435,0.0097
C35,4.7344,24.8024,5.3528,0.426,0.0468,0.022,0.0328,1.9938,0.3304,0.1573,0.3086,0.1239,0.3016,0.2696,0.0226,0.7684,3.1178,0.1573,0.1667,0.3662,0.1601,0.4019,0.1418,0.0348,0.0446,0.1085,0.0152,0.0071,0.0034,0.0815,1.5054,0.0635,0.0089,0.0661,0.066,0.0035,0.0423,0.0098
C36,1.0662,17.5955,4.8595,0.241,0.0589,0.0147,0.0359,0.731,0.1968,0.2005,0.4461,0.1292,0.4592,0.4499,0.0682,0.7951,10.3653,0.2005,0.2614,0.5252,0.171,0.3329,0.184,0.1369,0.0389,0.1162,0.0251,0.0047,0.0298,0.0788,6.0174,0.0464,0.0287,0.0335,0.0363,0.005,0.0372,0.0128
C37,3.6,16.6341,3.8277,0.2524,0.0525,0.0607,0.1173,1.7168,0.5372,0.151,0.483,0.1397,0.4433,0.3029,0.053,0.9444,7.0072,0.151,0.1947,0.4981,0.1975,0.3425,0.1441,0.0646,0.0618,0.0555,0.0312,,0.0035,0.0526,0.1355,0.1719,0.0283,0.0267,0.0283,0.006,0.0181,0.0123
C38,3.7184,17.5216,3.9712,0.2323,0.0607,0.0642,0.031,1.4602,0.0532,0.1464,0.3265,0.1361,0.3464,0.3213,0.0599,0.9826,2.4062,0.1464,0.2685,0.5319,0.2178,0.1654,0.1787,0.1947,0.0799,0.1473,0.0299,0.0158,0.0029,0.0411,0.0994,0.2356,0.0083,0.041,0.0501,0.0053,0.0212,0.0118
C39,3.8616,23.263,5.6576,0.362,0.0475,0.0765,0.029,2.5316,0.1541,0.2023,0.4255,0.1798,0.513,0.3875,0.0523,1.0713,8.9804,0.2023,0.2391,0.7277,0.3023,0.3862,0.2505,0.0919,0.0657,0.1465,0.0283,0.0095,0.0037,0.0497,0.1527,0.1876,0.0039,0.0819,0.0843,0.0055,0.0346,0.0131
C40,0.9111,17.4534,5.2667,0.3375,0.0522,0.0141,0.0362,0.8564,0.4372,0.2708,,0.1512,0.4061,0.3957,0.1307,0.9734,16.1557,,0.2359,0.6222,0.1777,0.3465,0.1653,0.1976,0.0307,0.0527,0.0162,0.0073,0.0092,0.0406,5.8158,0.0254,0.0473,0.0149,0.0259,0.0051,0.0426,0.0061
